Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
0.19374999,0.31633978,0.19374999,-0.80781945,0.19374999,-0.052504461,0.19374999,-0.59999956
0.19412406,0.31633987,0.19412406,-0.80781936,0.19412406,-0.052454903,0.19412406,-0.59999956
0.19687501,0.31634055,0.19687501,-0.80781868,0.19687501,-0.052090438,0.19687501,-0.59999955
0.19724907,0.31634064,0.19724907,-0.80781859,0.19724907,-0.05204166,0.19724907,-0.59999955
0.2,0.31634131,0.2,-0.80781792,0.2,-0.05168293,0.2,-0.59999954
0.20037407,0.3163414,0.20037407,-0.80781783,0.20037407,-0.051634907,0.20037407,-0.59999954
0.203125,0.31634207,0.203125,-0.80781716,0.203125,-0.051281734,0.203125,-0.59999954
0.20349906,0.31634216,0.20349906,-0.80781707,0.20349906,-0.051234443,0.20349906,-0.59999954
0.20625,0.31634284,0.20625,-0.8078164,0.20625,-0.050886657,0.20625,-0.59999953
0.20662406,0.31634293,0.20662406,-0.8078163,0.20662406,-0.050840076,0.20662406,-0.59999953
0.20937499,0.3163436,0.20937499,-0.80781563,0.20937499,-0.050497515,0.20937499,-0.59999952
0.20974906,0.31634369,0.20974906,-0.80781554,0.20974906,-0.050451625,0.20974906,-0.59999952
0.21250001,0.31634436,0.21250001,-0.80781487,0.21250001,-0.050114134,0.21250001,-0.59999952
0.21287407,0.31634445,0.21287407,-0.80781478,0.21287407,-0.050068912,0.21287407,-0.59999951
0.215625,0.31634512,0.215625,-0.80781411,0.215625,-0.049736344,0.215625,-0.59999951
0.21599907,0.31634521,0.21599907,-0.80781402,0.21599907,-0.049691772,0.21599907,-0.59999951
0.21875,0.31634589,0.21875,-0.80781334,0.21875,-0.049363984,0.21875,-0.5999995
0.21912406,0.31634598,0.21912406,-0.80781325,0.21912406,-0.049320044,0.21912406,-0.5999995
0.221875,0.31634665,0.221875,-0.80781258,0.221875,-0.048996901,0.221875,-0.59999949
0.22224906,0.31634674,0.22224906,-0.80781249,0.22224906,-0.048953575,0.22224906,-0.59999949
0.22499999,0.31634741,0.22499999,-0.80781182,0.22499999,-0.048634946,0.22499999,-0.59999949
0.22537406,0.3163475,0.22537406,-0.80781173,0.22537406,-0.048592217,0.22537406,-0.59999949
0.22812501,0.31634817,0.22812501,-0.80781106,0.22812501,-0.048277979,0.22812501,-0.59999948
0.22849907,0.31634827,0.22849907,-0.80781097,0.22849907,-0.048235831,0.22849907,-0.59999948
0.23125,0.31634894,0.23125,-0.80781029,0.23125,-0.047925864,0.23125,-0.59999947
0.23162407,0.31634903,0.23162407,-0.8078102,0.23162407,-0.047884281,0.23162407,-0.59999947
0.234375,0.3163497,0.234375,-0.80780953,0.234375,-0.04757847,0.234375,-0.59999947
0.23474906,0.31634979,0.23474906,-0.80780944,0.23474906,-0.047537437,0.23474906,-0.59999947
0.2375,0.31635046,0.2375,-0.80780877,0.2375,-0.047235672,0.2375,-0.59999946
0.23787406,0.31635055,0.23787406,-0.80780868,0.23787406,-0.047195175,0.23787406,-0.59999946
